latitude,longitude,name,zipcode,county
61.108737,-149.860912,Carl's Jr.,99515,Anchorage Municipality
61.137320,-149.840690,Carl's Jr.,99518,Anchorage Municipality
61.195163,-149.895102,Carl's Jr.,99503,Anchorage Municipality
61.331465,-149.565405,Carl's Jr.,99567,Anchorage Municipality
64.834275,-147.812614,Carl's Jr.,99775,Fairbanks North Star Borough
64.845500,-147.704800,Carl's Jr.,99790,Yukon-Koyukuk Census Area
60.558876,-151.238479,Carl's Jr.,99669,Kenai Peninsula Borough
61.578809,-149.405521,Carl's Jr.,99654,Matanuska-Susitna Borough
33.388242,-111.528635,Carl's Jr.,85119,Pinal County
33.443348,-112.556546,Carl's Jr.,85395,Maricopa County
34.985500,-114.352100,Carl's Jr.,86426,Mohave County
35.155900,-114.567100,Carl's Jr.,86429,Mohave County
34.574579,-111.883046,Carl's Jr.,86325,Yavapai County
32.879463,-111.713512,Carl's Jr.,85122,Pinal County
33.771134,-111.981365,Carl's Jr.,85331,Maricopa County
33.333729,-111.859363,Carl's Jr.,85224,Maricopa County
33.262335,-111.858335,Carl's Jr.,85286,Maricopa County
34.711840,-111.999125,Carl's Jr.,86326,Yavapai County
31.339008,-109.559796,Carl's Jr.,85617,Cochise County
32.781053,-111.619562,Carl's Jr.,85123,Pinal County
32.943741,-112.732728,Carl's Jr.,85337,Maricopa County
33.318325,-111.686903,Carl's Jr.,85295,Maricopa County
33.363114,-111.789963,Carl's Jr.,85233,Maricopa County
33.277311,-111.788119,Carl's Jr.,85297,Maricopa County
33.610563,-112.168778,Carl's Jr.,85306,Maricopa County
33.552963,-112.183566,Carl's Jr.,85302,Maricopa County
33.532776,-112.265549,Carl's Jr.,85305,Maricopa County
33.638437,-112.215311,Carl's Jr.,85381,Maricopa County
33.392781,-110.766296,Carl's Jr.,85501,Gila County
33.437238,-112.426821,Carl's Jr.,85395,Maricopa County
33.464163,-112.356275,Carl's Jr.,85392,Maricopa County
33.378063,-111.963583,Carl's Jr.,85283,Maricopa County
34.918345,-110.151372,Carl's Jr.,86025,Navajo County
35.222976,-114.036059,Carl's Jr.,86413,Mohave County
35.190837,-114.064918,Carl's Jr.,86413,Mohave County
34.725790,-114.315489,Carl's Jr.,86436,Mohave County
34.481950,-114.348065,Carl's Jr.,86403,Mohave County
33.377637,-112.166720,Carl's Jr.,85041,Maricopa County
32.441700,-111.234400,Carl's Jr.,85742,Pima County
33.070168,-112.045691,Carl's Jr.,85121,Pinal County
33.434663,-111.869635,Carl's Jr.,85201,Maricopa County
33.390846,-111.788463,Carl's Jr.,85204,Maricopa County
33.393337,-111.862544,Carl's Jr.,85210,Maricopa County
33.381335,-111.840263,Carl's Jr.,85210,Maricopa County
33.380350,-111.739642,Carl's Jr.,85234,Maricopa County
33.451575,-111.839951,Carl's Jr.,85201,Maricopa County
33.451719,-111.733535,Carl's Jr.,85213,Maricopa County
31.364694,-110.947397,Carl's Jr.,85621,Santa Cruz County
32.397125,-110.958788,Carl's Jr.,85737,Pima County
34.240686,-111.322821,Carl's Jr.,85541,Gila County
33.595099,-112.220464,Carl's Jr.,85381,Maricopa County
33.551500,-112.268000,Carl's Jr.,85305,Maricopa County
33.448504,-112.030363,Carl's Jr.,85034,Maricopa County
33.460571,-112.169365,Carl's Jr.,85035,Maricopa County
33.524078,-112.096912,Carl's Jr.,85015,Maricopa County
33.445900,-112.071312,Carl's Jr.,85004,Maricopa County
33.445800,-112.071524,Carl's Jr.,85004,Maricopa County
33.480437,-112.031303,Carl's Jr.,85006,Maricopa County
33.640263,-112.032075,Carl's Jr.,85032,Maricopa County
33.712763,-112.109260,Carl's Jr.,85027,Maricopa County
33.480537,-112.118487,Carl's Jr.,85017,Maricopa County
33.639837,-112.133652,Carl's Jr.,85053,Maricopa County
33.509363,-112.154128,Carl's Jr.,85019,Maricopa County
33.305537,-111.977849,Carl's Jr.,85226,Maricopa County
33.480321,-112.223119,Carl's Jr.,85033,Maricopa County
33.568907,-112.065034,Carl's Jr.,85020,Maricopa County
34.550917,-112.479127,Carl's Jr.,86303,Yavapai County
34.579377,-112.361139,Carl's Jr.,86314,Yavapai County
33.661700,-114.241220,Carl's Jr.,85344,La Paz County
33.248658,-111.629196,Carl's Jr.,85142,Maricopa County
32.827420,-109.732989,Carl's Jr.,85552,Graham County
31.910474,-110.980501,Carl's Jr.,85629,Pima County
32.505020,-114.786709,Carl's Jr.,85350,Yuma County
33.623209,-111.896402,Carl's Jr.,85260,Maricopa County
33.487168,-111.909077,Carl's Jr.,85251,Maricopa County
31.554463,-110.276595,Carl's Jr.,85613,Cochise County
33.634748,-112.345423,Carl's Jr.,85375,Maricopa County
33.442203,-111.926842,Carl's Jr.,85281,Maricopa County
33.334570,-111.968239,Carl's Jr.,85044,Maricopa County
33.458275,-112.239005,Carl's Jr.,85033,Maricopa County
32.177729,-110.955012,Carl's Jr.,85714,Pima County
32.133611,-111.000882,Carl's Jr.,85746,Pima County
32.221334,-110.944372,Carl's Jr.,85701,Pima County
32.134337,-110.922256,Carl's Jr.,85706,Pima County
32.273700,-110.978361,Carl's Jr.,85705,Pima County
32.206763,-110.904856,Carl's Jr.,85711,Pima County
32.220608,-110.980795,Carl's Jr.,85701,Pima County
32.250842,-110.857743,Carl's Jr.,85715,Pima County
32.286737,-110.962113,Carl's Jr.,85705,Pima County
32.221169,-110.826126,Carl's Jr.,85710,Pima County
32.102128,-110.772958,Carl's Jr.,85747,Pima County
33.970594,-112.721450,Carl's Jr.,85342,Maricopa County
35.262645,-112.194069,Carl's Jr.,86001,Coconino County
32.698737,-114.610404,Carl's Jr.,85364,Yuma County
32.669537,-114.623858,Carl's Jr.,85364,Yuma County
32.656240,-114.581824,Carl's Jr.,85364,Yuma County
49.054314,-122.370575,Carl's Jr.,98264,Whatcom County
49.106452,-121.976642,Carl's Jr.,98266,Whatcom County
49.263557,-122.768619,Carl's Jr.,98240,Whatcom County
49.193047,-123.170288,Carl's Jr.,98281,Whatcom County
49.039671,-122.801371,Carl's Jr.,98240,Whatcom County
49.009219,-122.735898,Carl's Jr.,98240,Whatcom County
49.283942,-123.117920,Carl's Jr.,98281,Whatcom County
34.509664,-117.399542,Carl's Jr.,92392,San Bernardino County
34.154282,-118.757251,Carl's Jr.,91377,Ventura County
37.782737,-122.273411,Carl's Jr.,94501,Alameda County
34.087969,-118.151651,Carl's Jr.,91803,Los Angeles County
33.593886,-117.728732,Carl's Jr.,92653,Orange County
32.838372,-116.778157,Carl's Jr.,91901,San Diego County
34.132923,-117.592108,Carl's Jr.,91701,San Bernardino County
33.855168,-117.837590,Carl's Jr.,92870,Orange County
33.818568,-117.889464,Carl's Jr.,92805,Orange County
33.850937,-117.924034,Carl's Jr.,92832,Orange County
33.832363,-117.950029,Carl's Jr.,92801,Orange County
33.803537,-117.888608,Carl's Jr.,92868,Orange County
33.795441,-117.915343,Carl's Jr.,92840,Orange County
33.832222,-117.919155,Carl's Jr.,92805,Orange County
33.836826,-117.870999,Carl's Jr.,92806,Orange County
33.851198,-117.856693,Carl's Jr.,92806,Orange County
33.859837,-117.790108,Carl's Jr.,92807,Orange County
33.841816,-117.958934,Carl's Jr.,92801,Orange County
33.867441,-117.745334,Carl's Jr.,92808,Orange County
37.968068,-121.786498,Carl's Jr.,94531,Contra Costa County
34.474002,-117.242233,Carl's Jr.,92395,San Bernardino County
34.524856,-117.218132,Carl's Jr.,92395,San Bernardino County
34.471111,-117.210304,Carl's Jr.,92395,San Bernardino County
34.130392,-118.026140,Carl's Jr.,91006,Los Angeles County
40.900199,-124.082590,Carl's Jr.,95524,Humboldt County
35.130685,-120.606255,Carl's Jr.,93433,San Luis Obispo County
35.485437,-120.663850,Carl's Jr.,93422,San Luis Obispo County
37.343106,-120.615461,Carl's Jr.,95301,Merced County
38.920430,-121.058254,Carl's Jr.,95603,Placer County
38.935073,-121.093045,Carl's Jr.,95603,Placer County
34.133463,-117.924599,Carl's Jr.,91010,Los Angeles County
35.092676,-116.242274,Carl's Jr.,92309,San Bernardino County
35.351198,-119.003098,Carl's Jr.,93304,Kern County
35.317918,-119.029135,Carl's Jr.,93304,Kern County
35.339637,-119.029567,Carl's Jr.,93304,Kern County
35.385999,-119.023331,Carl's Jr.,93301,Kern County
35.295850,-119.040727,Carl's Jr.,93304,Kern County
35.383437,-119.046710,Carl's Jr.,93301,Kern County
35.397563,-118.949523,Carl's Jr.,93305,Kern County
35.400577,-119.091931,Carl's Jr.,93312,Kern County
35.318149,-119.055482,Carl's Jr.,93304,Kern County
35.354437,-119.062621,Carl's Jr.,93309,Kern County
35.304966,-119.092257,Carl's Jr.,93309,Kern County
35.365428,-119.043567,Carl's Jr.,93309,Kern County
35.339937,-119.102204,Carl's Jr.,93309,Kern County
35.368697,-119.108045,Carl's Jr.,93312,Kern County
34.064576,-117.968999,Carl's Jr.,91790,Los Angeles County
33.925272,-116.897662,Carl's Jr.,92220,Riverside County
33.922830,-116.946534,Carl's Jr.,92223,Riverside County
34.893139,-117.002791,Carl's Jr.,92311,San Bernardino County
34.849701,-117.083066,Carl's Jr.,92311,San Bernardino County
33.969133,-118.178560,Carl's Jr.,90201,Los Angeles County
33.901863,-118.117629,Carl's Jr.,90706,Los Angeles County
38.086439,-122.113693,Carl's Jr.,94510,Solano County
33.757335,-116.302628,Carl's Jr.,92211,Riverside County
34.243263,-116.891828,Carl's Jr.,92315,San Bernardino County
37.368666,-118.395170,Carl's Jr.,93514,Inyo County
34.065360,-117.370300,Carl's Jr.,92316,San Bernardino County
33.609164,-114.605334,Carl's Jr.,85328,La Paz County
32.978737,-115.541167,Carl's Jr.,92281,Imperial County
33.911552,-117.887735,Carl's Jr.,92821,Orange County
37.961374,-121.736050,Carl's Jr.,94531,Contra Costa County
34.611313,-120.188531,Carl's Jr.,93427,Santa Barbara County
33.873336,-117.998034,Carl's Jr.,90621,Orange County
33.846937,-117.988087,Carl's Jr.,90620,Orange County
33.832233,-118.011264,Carl's Jr.,90620,Orange County
34.189601,-118.320371,Carl's Jr.,91502,Los Angeles County
34.160065,-118.343333,Carl's Jr.,91505,Los Angeles County
35.402937,-119.401029,Carl's Jr.,93206,Kern County
32.679163,-115.546725,Carl's Jr.,92231,Imperial County
33.996326,-117.058612,Carl's Jr.,92320,Riverside County
34.221637,-119.069965,Carl's Jr.,93010,Ventura County
38.656898,-120.968823,Carl's Jr.,95682,El Dorado County
34.208537,-118.571266,Carl's Jr.,91306,Los Angeles County
34.219763,-118.588663,Carl's Jr.,91306,Los Angeles County
34.201237,-118.594464,Carl's Jr.,91303,Los Angeles County
34.415590,-118.465646,Carl's Jr.,91351,Los Angeles County
36.975592,-121.965071,Carl's Jr.,95010,Santa Cruz County
33.176889,-117.326149,Carl's Jr.,92056,San Diego County
33.121792,-117.317717,Carl's Jr.,92008,San Diego County
33.162402,-117.344257,Carl's Jr.,92008,San Diego County
38.660847,-121.326681,Carl's Jr.,95841,Sacramento County
34.401674,-119.524822,Carl's Jr.,93108,Santa Barbara County
33.872545,-118.265737,Carl's Jr.,90746,Los Angeles County
33.846839,-118.234535,Carl's Jr.,90220,Los Angeles County
33.831430,-118.263930,Carl's Jr.,90745,Los Angeles County
34.489911,-118.618354,Carl's Jr.,91354,Los Angeles County
33.814525,-116.457834,Carl's Jr.,92234,Riverside County
33.778167,-116.458276,Carl's Jr.,92270,Riverside County
37.595991,-120.938526,Carl's Jr.,95307,Stanislaus County
33.858263,-118.090177,Carl's Jr.,90701,Los Angeles County
34.259200,-118.595300,Carl's Jr.,91304,Los Angeles County
39.727437,-121.805234,Carl's Jr.,95928,Butte County
39.756494,-121.860906,Carl's Jr.,95926,Butte County
34.035196,-117.689233,Carl's Jr.,91710,San Bernardino County
33.999671,-117.720051,Carl's Jr.,91710,San Bernardino County
34.004753,-117.651669,Carl's Jr.,91762,San Bernardino County
33.982778,-117.713106,Carl's Jr.,91710,San Bernardino County
37.125210,-120.255779,Carl's Jr.,93610,Madera County
32.610028,-117.081506,Carl's Jr.,91910,San Diego County
32.644581,-117.000116,Carl's Jr.,91913,San Diego County
32.628671,-116.966919,Carl's Jr.,91915,San Diego County
32.629812,-117.093580,Carl's Jr.,91910,San Diego County
32.617284,-117.070645,Carl's Jr.,91910,San Diego County
38.707263,-121.315223,Carl's Jr.,95621,Sacramento County
38.678163,-121.292323,Carl's Jr.,95621,Sacramento County
38.703193,-121.271723,Carl's Jr.,95610,Sacramento County
34.007807,-118.156260,Carl's Jr.,90040,Los Angeles County
34.027941,-118.015277,Carl's Jr.,90601,Los Angeles County
33.997277,-117.870933,Carl's Jr.,91789,Los Angeles County
34.020729,-117.957516,Carl's Jr.,91744,Los Angeles County
37.955960,-121.952200,Carl's Jr.,94521,Contra Costa County
38.931885,-122.617819,Carl's Jr.,95422,Lake County
36.837637,-119.697081,Carl's Jr.,93611,Fresno County
36.809252,-119.700527,Carl's Jr.,93612,Fresno County
36.808263,-119.727841,Carl's Jr.,93612,Fresno County
33.718233,-116.169244,Carl's Jr.,92203,Riverside County
33.684083,-116.181764,Carl's Jr.,92203,Riverside County
36.254063,-120.261688,Carl's Jr.,93210,Fresno County
34.049017,-117.308864,Carl's Jr.,92313,San Bernardino County
33.903383,-118.208319,Carl's Jr.,90221,Los Angeles County
33.873979,-118.247560,Carl's Jr.,90220,Los Angeles County
33.864546,-117.544924,Carl's Jr.,92879,Riverside County
33.879512,-117.602493,Carl's Jr.,92882,Riverside County
33.883773,-117.517962,Carl's Jr.,92879,Riverside County
33.844503,-117.573312,Carl's Jr.,92882,Riverside County
33.774676,-117.487894,Carl's Jr.,92883,Riverside County
33.960116,-117.592930,Carl's Jr.,92880,Riverside County
33.630893,-117.925521,Carl's Jr.,92663,Orange County
33.673437,-117.921023,Carl's Jr.,92626,Orange County
34.090946,-117.908065,Carl's Jr.,91722,Los Angeles County
34.012606,-118.416773,Carl's Jr.,90066,Los Angeles County
33.809666,-118.029399,Carl's Jr.,90630,Orange County
33.803137,-118.011879,Carl's Jr.,90680,Orange County
37.692337,-122.471172,Carl's Jr.,94015,San Mateo County
33.464845,-117.686089,Carl's Jr.,92624,Orange County
38.548927,-121.761654,Carl's Jr.,95616,Yolo County
38.561958,-121.732418,Carl's Jr.,95618,Yolo County
38.540417,-121.730949,Carl's Jr.,95618,Yolo County
35.775905,-119.251520,Carl's Jr.,93250,Kern County
33.954003,-116.501134,Carl's Jr.,92240,Riverside County
34.022289,-117.811400,Carl's Jr.,91789,Los Angeles County
36.545863,-119.404345,Carl's Jr.,93618,Tulare County
38.446298,-121.855074,Carl's Jr.,95687,Solano County
33.947536,-118.154373,Carl's Jr.,90241,Los Angeles County
33.935289,-118.123897,Carl's Jr.,90241,Los Angeles County
33.916863,-118.133829,Carl's Jr.,90242,Los Angeles County
34.139563,-117.977322,Carl's Jr.,91016,Los Angeles County
32.800666,-116.935962,Carl's Jr.,92020,San Diego County
32.807937,-116.969436,Carl's Jr.,92020,San Diego County
32.796737,-115.569336,Carl's Jr.,92249,Imperial County
32.774777,-115.551962,Carl's Jr.,92249,Imperial County
34.074768,-118.022250,Carl's Jr.,91732,Los Angeles County
33.924708,-118.396564,Carl's Jr.,90245,Los Angeles County
33.622856,-117.697279,Carl's Jr.,92691,Orange County
38.383600,-121.441600,Carl's Jr.,95757,Sacramento County
38.437867,-121.404455,Carl's Jr.,95758,Sacramento County
38.452428,-121.371524,Carl's Jr.,95829,Sacramento County
38.408863,-121.380159,Carl's Jr.,95758,Sacramento County
38.406565,-121.417673,Carl's Jr.,95758,Sacramento County
33.037590,-117.281432,Carl's Jr.,92007,San Diego County
34.164890,-118.525120,Carl's Jr.,91316,Los Angeles County
33.131319,-117.065524,Carl's Jr.,92025,San Diego County
33.112842,-117.100869,Carl's Jr.,92025,San Diego County
33.108483,-117.078251,Carl's Jr.,92025,San Diego County
33.127898,-117.092606,Carl's Jr.,92025,San Diego County
40.780402,-124.185724,Carl's Jr.,95564,Humboldt County
38.664237,-121.261838,Carl's Jr.,95628,Sacramento County
38.271616,-122.033924,Carl's Jr.,94533,Solano County
38.222461,-122.125872,Carl's Jr.,94534,Solano County
33.371885,-117.253102,Carl's Jr.,92028,San Diego County
34.395900,-118.919051,Carl's Jr.,93015,Ventura County
38.670295,-121.156067,Carl's Jr.,95630,Sacramento County
38.646472,-121.118307,Carl's Jr.,95630,Sacramento County
38.677874,-121.197902,Carl's Jr.,95662,Sacramento County
34.070337,-117.489961,Carl's Jr.,92337,San Bernardino County
34.138240,-117.445140,Carl's Jr.,92336,San Bernardino County
34.091583,-117.435865,Carl's Jr.,92335,San Bernardino County
37.563687,-122.270490,Carl's Jr.,94404,San Mateo County
33.729364,-117.920020,Carl's Jr.,92704,Orange County
33.714695,-117.954579,Carl's Jr.,92708,Orange County
33.687307,-117.953834,Carl's Jr.,92646,Orange County
36.631449,-119.677545,Carl's Jr.,93625,Fresno County
36.935027,-121.773572,Carl's Jr.,95019,Santa Cruz County
37.560643,-122.011560,Carl's Jr.,94536,Alameda County
37.491275,-121.928071,Carl's Jr.,94539,Alameda County
36.808837,-119.770789,Carl's Jr.,93710,Fresno County
36.764733,-119.772228,Carl's Jr.,93703,Fresno County
36.765321,-119.790770,Carl's Jr.,93701,Fresno County
36.745401,-119.789570,Carl's Jr.,93701,Fresno County
36.706314,-119.776231,Carl's Jr.,93721,Fresno County
36.808490,-119.846746,Carl's Jr.,93705,Fresno County
36.787487,-119.754104,Carl's Jr.,93726,Fresno County
36.790114,-119.790841,Carl's Jr.,93704,Fresno County
36.765426,-119.727148,Carl's Jr.,93703,Fresno County
36.807963,-119.884620,Carl's Jr.,93722,Fresno County
36.736105,-119.698455,Carl's Jr.,93727,Fresno County
36.822573,-119.870679,Carl's Jr.,93722,Fresno County
36.836713,-119.772470,Carl's Jr.,93710,Fresno County
36.845954,-119.790328,Carl's Jr.,93650,Fresno County
36.864650,-119.739071,Carl's Jr.,93720,Fresno County
33.899263,-117.909938,Carl's Jr.,92835,Orange County
33.871944,-117.941834,Carl's Jr.,92832,Orange County
33.888517,-117.869156,Carl's Jr.,92870,Orange County
33.870660,-117.924300,Carl's Jr.,92832,Orange County
33.877937,-117.889434,Carl's Jr.,92831,Orange County
38.253237,-121.297963,Carl's Jr.,95632,Sacramento County
33.759363,-117.954554,Carl's Jr.,92844,Orange County
33.800193,-117.941625,Carl's Jr.,92840,Orange County
33.774118,-117.920618,Carl's Jr.,92840,Orange County
33.788345,-118.027876,Carl's Jr.,92845,Orange County
33.788787,-117.960330,Carl's Jr.,92841,Orange County
33.873137,-118.299166,Carl's Jr.,90248,Los Angeles County
36.983497,-121.557563,Carl's Jr.,95020,Santa Clara County
34.164151,-118.280489,Carl's Jr.,91201,Los Angeles County
34.127753,-118.260045,Carl's Jr.,91204,Los Angeles County
34.124800,-117.872433,Carl's Jr.,91740,Los Angeles County
34.441541,-119.825706,Carl's Jr.,93111,Santa Barbara County
34.795806,-118.850161,Carl's Jr.,93243,Kern County
34.257637,-118.498473,Carl's Jr.,91343,Los Angeles County
34.264462,-118.525991,Carl's Jr.,91324,Los Angeles County
38.744233,-121.226039,Carl's Jr.,95661,Placer County
39.202507,-121.062236,Carl's Jr.,95975,Nevada County
36.328237,-119.657110,Carl's Jr.,93202,Kings County
33.809471,-118.289304,Carl's Jr.,90710,Los Angeles County
33.902796,-118.352234,Carl's Jr.,90250,Los Angeles County
33.902037,-118.372780,Carl's Jr.,90250,Los Angeles County
37.685655,-122.100373,Carl's Jr.,94541,Alameda County
37.629465,-122.096130,Carl's Jr.,94545,Alameda County
38.608755,-122.871421,Carl's Jr.,95492,Sonoma County
33.729537,-116.971434,Carl's Jr.,92543,Riverside County
33.747264,-117.007923,Carl's Jr.,92545,Riverside County
33.747937,-116.904167,Carl's Jr.,92583,Riverside County
33.755206,-116.958534,Carl's Jr.,92583,Riverside County
34.470449,-117.342168,Carl's Jr.,92392,San Bernardino County
34.424298,-117.321201,Carl's Jr.,92345,San Bernardino County
34.123251,-117.195233,Carl's Jr.,92346,San Bernardino County
33.729235,-118.041864,Carl's Jr.,92649,Orange County
33.682913,-118.006363,Carl's Jr.,92648,Orange County
33.679118,-117.988422,Carl's Jr.,92648,Orange County
33.649900,-117.953333,Carl's Jr.,92646,Orange County
33.715363,-118.009357,Carl's Jr.,92647,Orange County
33.715798,-117.984215,Carl's Jr.,92647,Orange County
33.672063,-117.970771,Carl's Jr.,92646,Orange County
33.974823,-118.230098,Carl's Jr.,90001,Los Angeles County
32.583663,-117.105862,Carl's Jr.,91932,San Diego County
33.711154,-116.238535,Carl's Jr.,92201,Riverside County
33.945363,-118.329349,Carl's Jr.,90305,Los Angeles County
33.961463,-118.360549,Carl's Jr.,90301,Los Angeles County
33.686091,-117.855384,Carl's Jr.,92614,Orange County
33.665081,-117.826754,Carl's Jr.,92612,Orange County
33.713787,-117.760520,Carl's Jr.,92620,Orange County
33.676073,-117.794465,Carl's Jr.,92604,Orange County
33.657040,-117.739828,Carl's Jr.,92618,Orange County
33.694160,-117.731840,Carl's Jr.,92618,Orange County
33.670007,-117.765480,Carl's Jr.,92618,Orange County
34.106922,-117.937926,Carl's Jr.,91722,Los Angeles County
36.734922,-120.060338,Carl's Jr.,93630,Fresno County
35.989264,-119.960669,Carl's Jr.,93239,Kings County
36.204063,-121.130246,Carl's Jr.,93930,Monterey County
36.518037,-119.557755,Carl's Jr.,93631,Fresno County
33.924363,-117.968064,Carl's Jr.,90631,Orange County
33.939438,-117.956444,Carl's Jr.,90631,Orange County
32.775836,-117.022523,Carl's Jr.,91942,San Diego County
33.898514,-118.006573,Carl's Jr.,90638,Los Angeles County
33.846063,-118.045578,Carl's Jr.,90623,Orange County
33.713583,-116.292565,Carl's Jr.,92210,Riverside County
34.117022,-117.776806,Carl's Jr.,91773,Los Angeles County
33.628501,-117.723564,Carl's Jr.,92637,Orange County
33.610502,-117.724148,Carl's Jr.,92637,Orange County
33.600594,-117.691893,Carl's Jr.,92653,Orange County
33.556119,-117.709554,Carl's Jr.,92656,Orange County
33.510073,-117.708723,Carl's Jr.,92677,Orange County
33.660888,-117.299958,Carl's Jr.,92532,Riverside County
33.663980,-117.297040,Carl's Jr.,92532,Riverside County
33.663661,-117.666324,Carl's Jr.,92630,Orange County
33.846863,-118.159624,Carl's Jr.,90712,Los Angeles County
33.852772,-118.133964,Carl's Jr.,90712,Los Angeles County
33.858448,-118.117264,Carl's Jr.,90713,Los Angeles County
34.675037,-118.155786,Carl's Jr.,93534,Los Angeles County
34.688651,-118.135291,Carl's Jr.,93534,Los Angeles County
